Observations for Station 01415 starting 1105Z 21 Aug 2022, Latitude: 58.874 Longitude: 5.665

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SPED   THTA   THTE   THTV
    hPa      m      C      C      %   g/kg    deg    m/s      K      K      K 
-----------------------------------------------------------------------------
  948.8    517   11.3    6.7     73   6.49    224    9.7  288.7  307.3  289.8
  948.2    522   11.2    6.7     74   6.49    224    9.7  288.7  307.3  289.8
  947.7    526   11.2    6.6     74   6.47    224    9.7  288.7  307.2  289.8
  947.2    531   11.1    6.6     74   6.47    224    9.6  288.7  307.2  289.9
  946.6    536   11.1    6.7     75   6.53    224    9.6  288.7  307.4  289.9
  946.1    541   11.0    6.9     76   6.60    224    9.6  288.7  307.6  289.9
  945.5    546   11.0    7.0     77   6.67    224    9.6  288.7  307.7  289.8
  945.0    550   10.9    7.1     77   6.71    224    9.6  288.7  307.8  289.8
  944.4    556   10.8    7.2     78   6.74    224    9.6  288.7  307.9  289.8
  943.8    561   10.8    7.2     79   6.76    224    9.6  288.7  307.9  289.8
  943.2    566   10.7    7.2     79   6.77    224    9.6  288.6  307.9  289.8
  942.6    571   10.7    7.2     79   6.76    224    9.6  288.7  307.9  289.8
  942.0    577   10.6    7.2     79   6.75    223    9.6  288.7  307.9  289.8
  941.4    582   10.6    7.1     79   6.74    223    9.6  288.7  307.9  289.8
  940.8    588   10.5    7.1     79   6.72    223    9.6  288.7  307.8  289.8
  940.2    593   10.5    7.0     79   6.71    222    9.6  288.7  307.8  289.9
  939.5    598   10.4    7.1     80   6.74    222    9.6  288.7  307.9  289.8
  938.9    604   10.4    7.1     80   6.76    222    9.6  288.7  308.0  289.8
  938.3    610   10.3    7.1     81   6.76    221    9.6  288.7  307.9  289.8
  937.7    615   10.2    7.1     81   6.75    221    9.6  288.6  307.9  289.8
  937.1    620   10.2    7.0     81   6.74    220    9.6  288.7  307.9  289.8
  936.5    626   10.2    7.2     82   6.80    220    9.6  288.7  308.1  289.9
  935.8    631   10.1    7.4     83   6.92    219    9.6  288.7  308.4  289.9
  935.2    637   10.1    7.3     83   6.87    219    9.6  288.7  308.3  289.9
